,07.02.2025 21:16:05,08.02.2025 03:22:41,09.02.2025 03:25:06,10.02.2025 03:26:32,11.02.2025 03:25:15,12.02.2025 03:24:44,13.02.2025 03:24:58,14.02.2025 03:25:08,15.02.2025 03:25:38,16.02.2025 03:27:24,17.02.2025 03:27:47,18.02.2025 03:24:25,19.02.2025 03:28:16,19.02.2025 22:12:07,20.02.2025 03:26:08,21.02.2025 03:26:40,22.02.2025 03:24:04,23.02.2025 03:27:23,24.02.2025 03:29:27,25.02.2025 03:28:57,26.02.2025 03:28:47,27.02.2025 03:29:03,27.02.2025 23:26:02,28.02.2025 03:29:10,01.03.2025 03:32:50,02.03.2025 03:29:56,03.03.2025 03:31:04,04.03.2025 03:31:43,05.03.2025 03:29:36,12.03.2025 03:31:18,13.03.2025 03:32:28,14.03.2025 03:31:39,15.03.2025 03:29:00,16.03.2025 03:34:46,16.03.2025 22:24:36,17.03.2025 03:33:41,17.03.2025 21:15:49,18.03.2025 03:33:17,20.03.2025 03:31:35,21.03.2025 03:33:34,22.03.2025 03:35:09,23.03.2025 03:35:16,24.03.2025 03:36:53
14.08 - 26.08,20555,20555,20679,20679,20928,20803,20803,20803,20803,20803,20803,20803,20803,20803,20928,20928,21176,21176,21176,21176,21176,21102,21102,21102,21102,21102,21102,21102,21102,21102,21102,21102,21102,,,,21102,21102,21102,19860,19860,19860,19860
20.08 - 01.09,20467,20467,20467,20467,20529,20529,20529,20529,20529,20653,20653,20777,20777,20777,,20777,20777,20777,20777,20777,20777,20827,20827,20827,20827,20827,20827,20827,20827,20827,20827,20827,20827,,,,20827,20827,20827,19586,20020,20020,20020
21.08 - 02.09,20574,20574,20574,20574,20638,20638,20638,20638,20638,20766,20766,20766,20766,,,21597,21725,21725,21725,21853,21853,21903,21903,21903,21903,21903,21903,21903,21903,22158,22158,22158,22158,22158,22158,22158,22158,22158,22158,20880,21391,21391,21391
28.08 - 09.09,20450,20450,20450,20450,20513,20513,20388,20388,20388,20638,20888,20888,20888,,,21514,21514,21514,21514,21389,21389,21439,21439,21439,21439,21439,21439,21439,21439,21439,21439,21439,21439,21439,21439,21439,21439,21439,21564,20563,20688,20563,20563
29.08 - 10.09,21825,21825,21825,21825,21890,21890,21890,21890,21890,21890,21890,21890,21890,21890,,22019,22147,22147,22147,22147,22147,22197,22197,22197,22197,22197,22197,22197,22326,22326,22326,22197,22197,,,,22197,22197,22197,20908,20908,20908,20908
03.09 - 15.09,22578,22578,22578,22578,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22670,22720,22720,22720,22720,22720,22720,22720,22720,22720,22720,22720,22720,22720,22720,22720,22720,22720,22720,21428,21428,21428,21428
04.09 - 16.09,20855,20855,20855,20855,20955,20955,20955,20955,20955,20955,20955,20955,20955,20955,20955,21081,21081,21081,21081,21081,21081,21131,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,21005,19746,19746,19746,19746
10.09 - 22.09,21333,21333,21333,21333,21422,21422,21422,21422,21422,21422,21422,21422,21422,,,21422,21422,21548,21548,21737,21737,21661,21661,21661,21661,21661,21661,21661,21661,21661,21661,21661,21661,,,,21661,21661,21661,20402,20402,20402,20402
11.09 - 23.09,22727,22727,22727,22727,22818,22818,22818,22818,22818,22818,22818,22818,22818,22818,,22818,22818,22818,22818,22818,22818,22868,22868,22868,22868,22868,22868,22868,22868,23253,23253,23253,23253,23253,23253,23253,23253,23253,23253,21971,21971,21971,21971
17.09 - 29.09,22928,22928,22928,22928,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23020,23070,23070,23070,23070,23070,23070,23070,23070,23070,23070,23070,23070,,,,23070,23070,23070,21773,21773,21773,21773
18.09 - 30.09,20994,20994,20994,20994,21081,21207,21396,21396,21396,21396,21396,21396,21396,21521,21521,21647,21647,21647,21647,21647,21647,21886,21886,21886,21886,21886,21886,21886,21886,22327,22327,22327,22327,22327,22327,22327,22075,22075,22075,20816,20816,20816,20816
24.09 - 06.10,21904,21904,21904,21904,22006,22006,22006,22006,22006,22006,22006,22006,22006,,,22006,22006,22006,22006,22006,22006,22056,22056,22056,22056,22056,22056,22056,22056,22835,22835,22835,22835,22835,22835,22835,22835,22835,22835,21537,21537,21537,21537
01.10 - 13.10,20878,20878,20878,20878,20878,20878,20878,20878,20878,20878,20878,20878,20878,20878,,20878,20878,20878,20878,20878,20878,20928,20928,20928,20928,20928,20928,20928,20928,20928,20928,20928,20928,20928,20928,20928,20928,20928,20928,19631,19631,19631,19631
08.10 - 20.10,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20514,20564,20694,20694,20823,21083,21083,21083,21018,21018,21018,21018,21018,21018,21018,21018,21018,21018,21018,19720,19720,19720,19720
15.10 - 27.10,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20254,20304,20304,20304,20304,20304,20304,20304,20304,20304,20304,20304,20304,20304,20304,20304,20304,20304,20304,19266,19590,19590,19590
22.10 - 03.11,20482,20482,20482,20482,20482,20615,20880,20880,20880,20880,20880,20747,20747,20747,20747,20747,20784,20784,20784,20784,20784,20834,20834,20834,20834,20834,20834,20834,20834,20834,20834,20834,20834,20834,20834,20834,20834,20834,20834,19507,19507,19507,19507
29.10 - 10.11,19179,19179,19441,19441,19702,19832,20093,20093,20093,20093,20093,20093,20093,,,20093,20381,20381,20381,20381,20381,20431,20431,20431,20431,20298,20298,20298,20298,20298,20298,20298,20298,20298,20298,20298,20298,20298,20298,18975,18975,18975,18975
05.11 - 17.11,,,,,,,,,,,,,,,,,,,,,,,,,19408,19408,19408,19408,19408,19408,19408,19408,19408,,,,19408,19408,19408,19408,19408,19408,19408
12.11 - 24.11,,,,,,,,,,,,,,,,,,,,,,,,,19468,19468,19468,19468,19468,19467,19467,19591,19716,19716,19716,19716,19716,19716,19716,19716,19716,19716,19716
19.11 - 01.12,,,,,,,,,,,,,,,,,,,,,,,,19086,19086,19086,19086,19086,19086,19356,19356,19356,19356,19356,19356,19356,19356,19356,19356,19356,19356,19356,19356
26.11 - 08.12,,,,,,,,,,,,,,,,,,,,,,,,,19718,19718,19718,19718,19718,19718,19718,19718,19718,19718,19718,19718,19718,19718,19718,19718,19718,19718,19718
03.12 - 15.12,,,,,,,,,,,,,,,,,,,,,,,,,19468,19468,19468,19468,19468,19468,19468,19468,19468,19468,19468,19468,19468,19468,19468,19468,19468,19468,19468
10.12 - 22.12,,,,,,,,,,,,,,,,,,,,,,,,19086,19086,19086,19086,19086,19086,19086,19086,19086,19086,19086,19086,19086,19086,19086,19086,19086,19086,19086,19086
17.12 - 29.12,,,,,,,,,,,,,,,,,,,,,,,,,19635,19635,19635,19635,19635,19635,19635,19635,19635,19643,19643,19643,19643,19643,19643,19643,19643,19643,19643
24.12 - 05.01,,,,,,,,,,,,,,,,,,,,,,,,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317
31.12 - 12.01,,,,,,,,,,,,,,,,,,,,,,,,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317,20317
07.01 - 19.01,,,,,,,,,,,,,,,,,,,,,,,,,18508,18508,18508,18508,18508,18513,18513,18513,18513,18513,18513,18513,18513,18513,18513,18513,18513,18513,18513
14.01 - 26.01,,,,,,,,,,,,,,,,,,,,,,,,18726,18726,18726,18726,18726,18726,18726,18726,18726,18726,18726,18726,18726,18726,18726,18726,18726,18726,18726,18726
21.01 - 02.02,,,,,,,,,,,,,,,,,,,,,,,,18826,18826,18826,18826,18826,18826,18826,18826,18826,18826,18826,18826,18826,18826,18826,18826,18826,18826,18826,18826
28.01 - 09.02,,,,,,,,,,,,,,,,,,,,,,,,19049,19049,19049,19049,19049,19049,19049,19049,19049,19049,19049,19049,19049,19049,19049,19049,19049,19049,19049,19049
04.02 - 16.02,,,,,,,,,,,,,,,,,,,,,,,,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760,19760
11.02 - 23.02,,,,,,,,,,,,,,,,,,,,,,,,,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428
18.02 - 02.03,,,,,,,,,,,,,,,,,,,,,,,,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428,19428
25.02 - 09.03,,,,,,,,,,,,,,,,,,,,,,,,,19101,19101,19101,19101,19101,19101,19101,19101,19101,19101,19101,19101,19101,19101,19101,19101,19101,19101,19101
04.03 - 16.03,,,,,,,,,,,,,,,,,,,,,,,,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028,19028
11.03 - 23.03,,,,,,,,,,,,,,,,,,,,,,,,,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013,19013
12.03 - 24.03,19810,19810,19310,19810,,,19509,19766,19381,18681,19381,19632,19632,17501,17501,17495,16364,15816,16993,15861,14982,,,,,,,,,,,,,,,,,,,,,,
18.03 - 30.03,,,,,,,,,,,,,,,,,,,,,,,,,19013,19013,19013,19013,19013,19013,19013,19013,19013,,,,19013,19013,19013,19013,19013,19013,19013
